uid,namedLocation,date,eventID,domainID,siteID,plotID,subplotID,tagID,individualID,tagStatus,identificationHistoryID,taxonID,scientificName,taxonRank,identificationReferences,identificationQualifier,morphospeciesID,growthForm,shape,plantStatus,leafNumber,meanLeafLength,meanPetioleLength,meanBladeLength,basalStemDiameter,meanBasalDiameter,stemDiameter,stemLength,measurementHeight,maxCrownDiameter,ninetyCrownDiameter,height,baseCrownHeight,maxBaseCrownDiameter,ninetyBaseCrownDiameter,canopyPosition,oldPadCount,newPadCount,stemCount,branchCount,meanBranchLength,remarks,measuredBy,recordedBy,dataEntryRecordID
"0c16de65-70e6-4dee-8cbf-500c5c812edf","BART_073.basePlot.vst","2019-07-15","vst_BART_2019","D01","BART","BART_073","39_unknown_unknown",,"TEMP.PLA.NW.BART.2019.73002",,,"PTAQL","Pteridium aquilinum (L.) Kuhn var. latiusculum (Desv.) Underw. ex A. Heller","variety","Haines, A. 2011. Flora Novae Angliae: a manual for the identification of native and naturalized higher vascular plants of New England. Yale University Press, New Haven, Connecticut, USA.",,,"fern",,"Live",,,,,0.4,,,,0,,,,,,,,,,,,,,"0000-0001-6093-9384","0000-0002-8951-4934",
"73b9a6e8-9d06-4d61-82f5-3aeff1d7b79a","BART_073.basePlot.vst","2019-07-15","vst_BART_2019","D01","BART","BART_073","39_unknown_unknown",,"TEMP.PLA.NW.BART.2019.73007",,,"PTAQL","Pteridium aquilinum (L.) Kuhn var. latiusculum (Desv.) Underw. ex A. Heller","variety","Haines, A. 2011. Flora Novae Angliae: a manual for the identification of native and naturalized higher vascular plants of New England. Yale University Press, New Haven, Connecticut, USA.",,,"fern",,"Live",,,,,0.3,,,,0,,,,,,,,,,,,,,"0000-0001-6093-9384","0000-0002-8951-4934",
"538f5417-ef09-4e70-ae9d-487695c3637c","BART_073.basePlot.vst","2019-07-15","vst_BART_2019","D01","BART","BART_073","39_unknown_unknown",,"TEMP.PLA.NW.BART.2019.73001",,,"PTAQL","Pteridium aquilinum (L.) Kuhn var. latiusculum (Desv.) Underw. ex A. Heller","variety","Haines, A. 2011. Flora Novae Angliae: a manual for the identification of native and naturalized higher vascular plants of New England. Yale University Press, New Haven, Connecticut, USA.",,,"fern",,"Live",,,,,0.4,,,,0,,,,,,,,,,,,,,"0000-0001-6093-9384","0000-0002-8951-4934",
"ba0b7d77-0021-4d30-add1-644134508f5a","BART_073.basePlot.vst","2019-07-15","vst_BART_2019","D01","BART","BART_073","39_unknown_unknown",,"TEMP.PLA.NW.BART.2019.73008",,,"PTAQL","Pteridium aquilinum (L.) Kuhn var. latiusculum (Desv.) Underw. ex A. Heller","variety","Haines, A. 2011. Flora Novae Angliae: a manual for the identification of native and naturalized higher vascular plants of New England. Yale University Press, New Haven, Connecticut, USA.",,,"fern",,"Live",,,,,0.3,,,,0,,,,,,,,,,,,,,"0000-0001-6093-9384","0000-0002-8951-4934",
"4f801844-1970-43f9-9587-f97b70aec18c","BART_073.basePlot.vst","2019-07-15","vst_BART_2019","D01","BART","BART_073","23_unknown_unknown",,"TEMP.PLA.NW.BART.2019.73012",,,"DEPU2","Dennstaedtia punctilobula (Michx.) T. Moore","species","Haines, A. 2011. Flora Novae Angliae: a manual for the identification of native and naturalized higher vascular plants of New England. Yale University Press, New Haven, Connecticut, USA.",,,"fern",,"Live",1,49.0,,,,,,,,,,,,,,,,,,,,,"0000-0001-6093-9384","0000-0002-8951-4934",
"bd925fa0-2c45-484c-9e37-9bf0716eeab9","BART_073.basePlot.vst","2019-07-15","vst_BART_2019","D01","BART","BART_073","39_unknown_unknown",,"TEMP.PLA.NW.BART.2019.73005",,,"PTAQL","Pteridium aquilinum (L.) Kuhn var. latiusculum (Desv.) Underw. ex A. Heller","variety","Haines, A. 2011. Flora Novae Angliae: a manual for the identification of native and naturalized higher vascular plants of New England. Yale University Press, New Haven, Connecticut, USA.",,,"fern",,"Live",,,,,0.4,,,,0,,,,,,,,,,,,,,"0000-0001-6093-9384","0000-0002-8951-4934",
"19fbdd90-bef9-49ab-9b77-99134548e0d2","BART_073.basePlot.vst","2019-07-15","vst_BART_2019","D01","BART","BART_073","39_unknown_unknown",,"TEMP.PLA.NW.BART.2019.73006",,,"PTAQL","Pteridium aquilinum (L.) Kuhn var. latiusculum (Desv.) Underw. ex A. Heller","variety","Haines, A. 2011. Flora Novae Angliae: a manual for the identification of native and naturalized higher vascular plants of New England. Yale University Press, New Haven, Connecticut, USA.",,,"fern",,"Live",,,,,0.2,,,,0,,,,,,,,,,,,,,"0000-0001-6093-9384","0000-0002-8951-4934",
"1255a787-9136-4c30-ac62-f78ce7ea60f8","BART_073.basePlot.vst","2019-07-15","vst_BART_2019","D01","BART","BART_073","23_unknown_unknown",,"TEMP.PLA.NW.BART.2019.73014",,,"DEPU2","Dennstaedtia punctilobula (Michx.) T. Moore","species","Haines, A. 2011. Flora Novae Angliae: a manual for the identification of native and naturalized higher vascular plants of New England. Yale University Press, New Haven, Connecticut, USA.",,,"fern",,"Live",1,58.0,,,,,,,,,,,,,,,,,,,,,"0000-0001-6093-9384","0000-0002-8951-4934",
"54d7ef89-0d1c-4195-a97f-a8684ce291e0","BART_073.basePlot.vst","2019-07-15","vst_BART_2019","D01","BART","BART_073","39_unknown_unknown",,"TEMP.PLA.NW.BART.2019.73010",,,"PTAQL","Pteridium aquilinum (L.) Kuhn var. latiusculum (Desv.) Underw. ex A. Heller","variety","Haines, A. 2011. Flora Novae Angliae: a manual for the identification of native and naturalized higher vascular plants of New England. Yale University Press, New Haven, Connecticut, USA.",,,"fern",,"Live",,,,,0.3,,,,0,,,,,,,,,,,,,,"0000-0001-6093-9384","0000-0002-8951-4934",
"f861d411-601b-436a-8917-a39bddc6eb35","BART_073.basePlot.vst","2019-07-15","vst_BART_2019","D01","BART","BART_073","39_unknown_unknown",,"TEMP.PLA.NW.BART.2019.73003",,,"PTAQL","Pteridium aquilinum (L.) Kuhn var. latiusculum (Desv.) Underw. ex A. Heller","variety","Haines, A. 2011. Flora Novae Angliae: a manual for the identification of native and naturalized higher vascular plants of New England. Yale University Press, New Haven, Connecticut, USA.",,,"fern",,"Live",,,,,0.3,,,,0,,,,,,,,,,,,,,"0000-0001-6093-9384","0000-0002-8951-4934",
"99f607bf-6b14-4b6f-a580-b0e746592c13","BART_073.basePlot.vst","2019-07-15","vst_BART_2019","D01","BART","BART_073","39_unknown_unknown",,"TEMP.PLA.NW.BART.2019.73004",,,"PTAQL","Pteridium aquilinum (L.) Kuhn var. latiusculum (Desv.) Underw. ex A. Heller","variety","Haines, A. 2011. Flora Novae Angliae: a manual for the identification of native and naturalized higher vascular plants of New England. Yale University Press, New Haven, Connecticut, USA.",,,"fern",,"Live",,,,,0.3,,,,0,,,,,,,,,,,,,,"0000-0001-6093-9384","0000-0002-8951-4934",
"0ec966a1-c38f-4c72-a85e-cad0d1696a91","BART_073.basePlot.vst","2019-07-15","vst_BART_2019","D01","BART","BART_073","23_unknown_unknown",,"TEMP.PLA.NW.BART.2019.73013",,,"DEPU2","Dennstaedtia punctilobula (Michx.) T. Moore","species","Haines, A. 2011. Flora Novae Angliae: a manual for the identification of native and naturalized higher vascular plants of New England. Yale University Press, New Haven, Connecticut, USA.",,,"fern",,"Live",1,69.0,,,,,,,,,,,,,,,,,,,,,"0000-0001-6093-9384","0000-0002-8951-4934",
"21cea6d2-0311-408a-b0fe-d44cd62cceb3","BART_073.basePlot.vst","2019-07-15","vst_BART_2019","D01","BART","BART_073","39_unknown_unknown",,"TEMP.PLA.NW.BART.2019.73011",,,"PTAQL","Pteridium aquilinum (L.) Kuhn var. latiusculum (Desv.) Underw. ex A. Heller","variety","Haines, A. 2011. Flora Novae Angliae: a manual for the identification of native and naturalized higher vascular plants of New England. Yale University Press, New Haven, Connecticut, USA.",,,"fern",,"Live",,,,,0.4,,,,0,,,,,,,,,,,,,,"0000-0001-6093-9384","0000-0002-8951-4934",
"82b55158-4bbd-4214-86eb-3decd386404b","BART_073.basePlot.vst","2019-07-15","vst_BART_2019","D01","BART","BART_073","39_unknown_unknown",,"TEMP.PLA.NW.BART.2019.73009",,,"PTAQL","Pteridium aquilinum (L.) Kuhn var. latiusculum (Desv.) Underw. ex A. Heller","variety","Haines, A. 2011. Flora Novae Angliae: a manual for the identification of native and naturalized higher vascular plants of New England. Yale University Press, New Haven, Connecticut, USA.",,,"fern",,"Live",,,,,0.3,,,,0,,,,,,,,,,,,,,"0000-0001-6093-9384","0000-0002-8951-4934",
"a8eea0e5-850d-4b1b-9b9d-428fdaaf54dd","BART_047.basePlot.vst","2019-07-16","vst_BART_2019","D01","BART","BART_047","21_unknown_1",,"TEMP.PLA.NW.BART.2019.47012",,,"OSCL2","Osmunda claytoniana L.","species","Haines, A. 2011. Flora Novae Angliae: a manual for the identification of native and naturalized higher vascular plants of New England. Yale University Press, New Haven, Connecticut, USA.",,,"fern",,"Live",3,74.0,,,,,,,,,,,,,,,,,,,,,"0000-0001-6093-9384","0000-0002-8951-4934",
"cee003a6-2570-4589-aa0a-3384477ad6ee","BART_047.basePlot.vst","2019-07-16","vst_BART_2019","D01","BART","BART_047","21_unknown_1",,"TEMP.PLA.NW.BART.2019.47011",,,"DRIN5","Dryopteris intermedia (Muhl. ex Willd.) A. Gray","species","Haines, A. 2011. Flora Novae Angliae: a manual for the identification of native and naturalized higher vascular plants of New England. Yale University Press, New Haven, Connecticut, USA.",,,"fern",,"Live",3,30.0,,,,,,,,,,,,,,,,,,,,,"0000-0001-6093-9384","0000-0002-8951-4934",
"31975676-706e-4e74-99e6-4fd30a60e201","BART_042.basePlot.vst","2019-07-16","vst_BART_2017","D01","BART","BART_042","51_unknown_4",,"TEMP.PLA.NW.BART.2017.42090",,,"DRIN5","Dryopteris intermedia (Muhl. ex Willd.) A. Gray","species","Haines, A. 2011. Flora Novae Angliae: a manual for the identification of native and naturalized higher vascular plants of New England. Yale University Press, New Haven, Connecticut, USA.",,,"fern",,"Live",6,36.0,,,,,,,,,,,,,,,,,,,,,"0000-0003-2514-5399","0000-0002-4386-3362",
"e0d8da6c-644c-45f8-872a-c92adb8f6c9d","BART_070.basePlot.vst","2019-07-16","vst_BART_2019","D01","BART","BART_070","51_unknown_4",,"TEMP.PLA.NW.BART.2019.70011","notRequired",,"THNO","Thelypteris noveboracensis (L.) Nieuwl.","species","Haines, A. 2011. Flora Novae Angliae: a manual for the identification of native and naturalized higher vascular plants of New England. Yale University Press, New Haven, Connecticut, USA.",,,"fern",,"Live",3,35.0,,,,,,,,,,,,,,,,,,,,,"0000-0002-4386-3362","0000-0003-2514-5399",
"af1d4446-bb42-458a-960e-e807a5b7016b","BART_042.basePlot.vst","2019-07-16","vst_BART_2017","D01","BART","BART_042","39_unknown_1",,"TEMP.PLA.NW.BART.2017.42025","notRequired",,"DRIN5","Dryopteris intermedia (Muhl. ex Willd.) A. Gray","species","Haines, A. 2011. Flora Novae Angliae: a manual for the identification of native and naturalized higher vascular plants of New England. Yale University Press, New Haven, Connecticut, USA.",,,"fern",,"Live",2,46.0,,,,,,,,,,,,,,,,,,,,,"0000-0003-2514-5399","0000-0002-4386-3362",
"3cf93d2a-9d5d-4cc7-94e5-34b77f9e51f0","BART_042.basePlot.vst","2019-07-16","vst_BART_2017","D01","BART","BART_042","39_unknown_1",,"TEMP.PLA.NW.BART.2017.42061","notRequired",,"DRIN5","Dryopteris intermedia (Muhl. ex Willd.) A. Gray","species","Haines, A. 2011. Flora Novae Angliae: a manual for the identification of native and naturalized higher vascular plants of New England. Yale University Press, New Haven, Connecticut, USA.",,,"fern",,"Live",3,56.0,,,,,,,,,,,,,,,,,,,,,"0000-0003-2514-5399","0000-0002-4386-3362",
"23dad858-812c-4db4-9f09-cb654b7e22e9","BART_040.basePlot.vst","2019-07-16","vst_BART_2019","D01","BART","BART_040","41_unknown_1",,"TEMP.PLA.NW.BART.2019.40068",,,"DRIN5","Dryopteris intermedia (Muhl. ex Willd.) A. Gray","species","Haines, A. 2011. Flora Novae Angliae: a manual for the identification of native and naturalized higher vascular plants of New England. Yale University Press, New Haven, Connecticut, USA.",,,"fern",,"Live",5,32.0,,,,,,,,,,,,,,,,,,,,,"0000-0001-6093-9384","0000-0002-8951-4934",
"40d34ddf-b392-4fbf-9ce4-99c64ebf1907","BART_042.basePlot.vst","2019-07-16","vst_BART_2017","D01","BART","BART_042","39_unknown_1",,"TEMP.PLA.NW.BART.2017.42017","notRequired",,"DRIN5","Dryopteris intermedia (Muhl. ex Willd.) A. Gray","species","Haines, A. 2011. Flora Novae Angliae: a manual for the identification of native and naturalized higher vascular plants of New England. Yale University Press, New Haven, Connecticut, USA.",,,"fern",,"Live",3,39.0,,,,,,,,,,,,,,,,,,,,,"0000-0003-2514-5399","0000-0002-4386-3362",
"0656c35d-7177-44c7-8e71-820c61d1e986","BART_040.basePlot.vst","2019-07-16","vst_BART_2019","D01","BART","BART_040","51_unknown_4",,"TEMP.PLA.NW.BART.2019.40061",,,"THNO","Thelypteris noveboracensis (L.) Nieuwl.","species","Haines, A. 2011. Flora Novae Angliae: a manual for the identification of native and naturalized higher vascular plants of New England. Yale University Press, New Haven, Connecticut, USA.",,,"fern",,"Live",2,36.0,,,,,,,,,,,,,,,,,,,,,"0000-0001-6093-9384","0000-0002-8951-4934",
