uid,namedLocation,date,nonwoodyCollectDate,domainID,siteID,plotID,plotType,nlcdClass,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,easting,northing,utmZone,elevation,elevationUncertainty,samplingImpractical,eventID,eventType,dataCollected,subplotsSampled,samplingProtocolVersion,targetTaxaPresent,woodyTargetTaxaPresent,nonWoodyTargetTaxaPresent,treesPresent,shrubsPresent,lianasPresent,cactiPresent,fernsPresent,yuccasPresent,palmsPresent,ocotillosPresent,xerophyllumPresent,treeFernsPresent,nestedSubplotAreaShrubSapling,nestedSubplotAreaLiana,nestedSubplotAreaFerns,nestedSubplotAreaOther,totalSampledAreaTrees,totalSampledAreaShrubSapling,totalSampledAreaLiana,totalSampledAreaFerns,totalSampledAreaOther,remarks,measuredBy,recordedBy,dataQF
"f5a5fcb7-0b0f-46ec-bc75-c1a91ba867fa","YELL_043.basePlot.vst","2020-10-06",,"D12","YELL","YELL_043","tower","deciduousForest",44.950475,-110.540081,"WGS84",20.1,536279.87,4977551.70,"12N",2153.2,0.1,"OK","vst_YELL_2020","towerSubset","allGrowthForms","21_400|41_400","NEON.DOC.000987vJ","Y","Y","N","Y","Y","N","N","N","N","N","N","N",,"10","noneSelected","noneSelected","noneSelected",800,40,800,800,800,,,,
"54b120ca-9c1c-47da-8881-c4c64daa1030","YELL_045.basePlot.vst","2020-10-07",,"D12","YELL","YELL_045","tower","evergreenForest",44.950204,-110.536291,"WGS84",20.1,536579.01,4977523.30,"12N",2155.8,0.1,"OK","vst_YELL_2020","towerSubset","partial","21_400|23_400","NEON.DOC.000987vJ","Y","Y","N","Y","Y","N","N","N","N","N","N","N",,"10","noneSelected","noneSelected","noneSelected",800,0,800,800,800,"incomplete sampling due to snow, shrubs and saplings not measured",,,
"b0bec15e-ef45-4b6b-9a37-afdb35eb399e","YELL_044.basePlot.vst","2020-10-07",,"D12","YELL","YELL_044","tower","evergreenForest",44.953426,-110.534358,"WGS84",20.1,536729.43,4977882.09,"12N",2139.9,0.1,"OK","vst_YELL_2020","towerSubset","allGrowthForms","23_400|39_400","NEON.DOC.000987vJ","Y","Y","N","Y","Y","N","N","N","N","N","N","N",,"10","noneSelected","noneSelected","noneSelected",800,40,800,800,800,,,,
"7590b797-b943-4281-a7b4-7c5176ef9658","YELL_046.basePlot.vst","2020-10-28",,"D12","YELL","YELL_046","tower","evergreenForest",44.952363,-110.541582,"WGS84",20.1,536160.28,4977760.76,"12N",2155.4,0.1,"OK","vst_YELL_2020","towerSubset","partial","39_400|41_400","NEON.DOC.000987vH","Y","Y","N","Y","Y","N","N","N","N","N","N","N",,"noneSelected","noneSelected","noneSelected","noneSelected",800,0,800,800,800,"incomplete sampling due to snow, shrubs and saplings not measured",,,
"23049bd2-40ec-4132-aad7-83b3277b2ae2","YELL_047.basePlot.vst","2020-10-29",,"D12","YELL","YELL_047","tower","evergreenForest",44.952354,-110.534361,"WGS84",20.1,536729.88,4977763.01,"12N",2149.1,0.1,"OK","vst_YELL_2020","towerSubset","partial","21_400|23_400","NEON.DOC.000987vJ","Y","Y","N","Y","Y","N","N","N","N","N","N","N",,"25","noneSelected","noneSelected","noneSelected",800,0,800,800,800,"incomplete sampling due to snow, shrubs and saplings not measured",,,
