uid,namedLocation,date,nonwoodyCollectDate,domainID,siteID,plotID,plotType,nlcdClass,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,easting,northing,utmZone,elevation,elevationUncertainty,samplingImpractical,eventID,eventType,dataCollected,subplotsSampled,samplingProtocolVersion,targetTaxaPresent,woodyTargetTaxaPresent,nonWoodyTargetTaxaPresent,treesPresent,shrubsPresent,lianasPresent,cactiPresent,fernsPresent,yuccasPresent,palmsPresent,ocotillosPresent,xerophyllumPresent,treeFernsPresent,nestedSubplotAreaShrubSapling,nestedSubplotAreaLiana,nestedSubplotAreaFerns,nestedSubplotAreaOther,totalSampledAreaTrees,totalSampledAreaShrubSapling,totalSampledAreaLiana,totalSampledAreaFerns,totalSampledAreaOther,remarks,measuredBy,recordedBy,dataQF
"f81a3646-d022-444b-885a-02462eaaa510","HARV_027.basePlot.vst","2023-07-05",,"D01","HARV","HARV_027","distributed","evergreenForest",42.430350,-72.253258,"WGS84",20.1,725947.38,4701214.85,"18N",183.1,0.2,"OK","vst_HARV_2023","distributedAndTowerSubset","allGrowthForms","31_100|32_100|40_100|41_100","NEON.DOC.000987vM","Y","Y","Y","Present - sampled","Present - sampled","N","N","Present - sampling criteria not met","N","N","N","N","N","25","noneSelected","noneSelected","noneSelected",400,400,400,,400,"Woody stems measured after senescence.",,,
"a3dbd33e-0ff6-449c-94dd-cb0698968e63","HARV_004.basePlot.vst","2023-07-05",,"D01","HARV","HARV_004","distributed","mixedForest",42.427091,-72.229737,"WGS84",20.2,727894.17,4700915.85,"18N",199.7,0.2,"OK","vst_HARV_2023","distributedAndTowerSubset","allGrowthForms","31_100|32_100|40_100|41_100","NEON.DOC.000987vM","Y","Y","Y","Present - sampled","Present - sampled","N","N","Present - sampling criteria not met","N","N","N","N","N","10","noneSelected","noneSelected","noneSelected",400,400,400,,400,,,,
"41ea933a-cbe1-4a73-aa69-5f151f773c2d","HARV_025.basePlot.vst","2023-07-05",,"D01","HARV","HARV_025","distributed","mixedForest",42.475428,-72.273927,"WGS84",20.2,724086.14,4706165.89,"18N",179.6,0.5,"OK","vst_HARV_2023","distributedAndTowerSubset","allGrowthForms","31_100|32_100|40_100|41_100","NEON.DOC.000987vM","Y","Y","Y","Present - sampled","Present - sampled","Present - sampled","N","Present - sampling criteria not met","N","N","N","N","N","noneSelected","noneSelected","noneSelected","noneSelected",400,400,400,,400,"Woody stems measured after senescence.",,,
"1bb4aec4-013a-49eb-bd7b-6d10df5eb764","HARV_016.basePlot.vst","2023-07-05","2023-07-05","D01","HARV","HARV_016","distributed","woodyWetlands",42.458470,-72.231992,"WGS84",20.1,727594.95,4704394.40,"18N",232.2,0.3,"OK","vst_HARV_2023","distributedAndTowerSubset","allGrowthForms","31_100|32_100|40_100|41_100","NEON.DOC.000987vM","Y","Y","Y","Present - sampled","Present - sampled","Present - sampled","N","Present - sampled","N","N","N","N","N","10","noneSelected","1","noneSelected",400,80,400,400,400,"Woody stems measured after senescence.",,,
