uid,namedLocation,date,eventID,domainID,siteID,plotID,subplotID,individualID,tempStemID,tagStatus,growthForm,plantStatus,stemDiameter,measurementHeight,changedMeasurementLocation,height,baseCrownHeight,breakHeight,breakDiameter,maxCrownDiameter,ninetyCrownDiameter,canopyPosition,shape,basalStemDiameter,basalStemDiameterMsrmntHeight,maxBaseCrownDiameter,ninetyBaseCrownDiameter,dendrometerInstallationDate,initialGapMeasurementDate,initialBandStemDiameter,initialDendrometerGap,dendrometerHeight,dendrometerGap,dendrometerCondition,bandStemDiameter,remarks,recordedBy,measuredBy,dataEntryRecordID,dataQF
"b0ef46cd-d128-4c1e-934d-de1bd6b89640","YELL_050.basePlot.vst","2019-10-01","vst_YELL_2019","D12","YELL","YELL_050","31_25_4","NEON.PLA.D12.YELL.01980",,"ok","sapling","Live",,,,1.3,,,,,,,,3.0,10,,,,,,,,,,,,"0000-0002-4260-8503","0000-0001-8893-215X","50d3b82e-9663-41ca-8c05-d12441443c7e",
"17b86265-1a66-41a3-a2e3-5c25a7c56023","YELL_050.basePlot.vst","2019-10-01","vst_YELL_2019","D12","YELL","YELL_050","21_25_unknown","NEON.PLA.D12.YELL.01972",,"ok","sapling","Live",,,,0.5,,,,,,,,1.0,10,,,,,,,,,,,,"0000-0002-4260-8503","0000-0001-8893-215X","7cf8bc6f-1722-4d0d-8117-7c5b70d8153c",
"8437a659-542a-43e0-a9e2-be4e9c6b0daa","YELL_050.basePlot.vst","2019-10-01","vst_YELL_2019","D12","YELL","YELL_050","23_400","NEON.PLA.D12.YELL.01959",,"ok","single bole tree","Live",58.5,130,,19.6,,,,,,,,,,,,,,,,,,,,,"0000-0002-4260-8503","0000-0001-8893-215X","bef9ab2f-7bfe-4451-a17d-797326442d22",
"8425dd36-9a99-4827-bdfb-f9e29434013b","YELL_050.basePlot.vst","2019-10-01","vst_YELL_2019","D12","YELL","YELL_050","21_400","NEON.PLA.D12.YELL.01970",,"ok","single bole tree","Live",37.8,130,,13.0,,,,,,,,,,,,,,,,,,,,,"0000-0002-4260-8503","0000-0001-8893-215X","d946cd3d-5fe3-4bc3-9f50-e043dd87f723",
"ec0b4bfa-e04a-4c3a-be11-12e486bfc1bf","YELL_050.basePlot.vst","2019-10-01","vst_YELL_2019","D12","YELL","YELL_050","21_400","NEON.PLA.D12.YELL.01967",,"ok","single bole tree","Live",44.3,130,,16.1,,,,,,,,,,,,,,,,,,,,,"0000-0002-4260-8503","0000-0001-8893-215X","ca976925-7f57-4d6f-aff7-4fec6bbbf239",
"386eddb2-d783-4fe9-aa69-db6dd081beef","YELL_050.basePlot.vst","2019-10-01","vst_YELL_2019","D12","YELL","YELL_050","21_25_unknown","NEON.PLA.D12.YELL.01971",,"ok","small shrub","Live",,,,0.8,0.0,,,1.4,1.0,,"ellipsoid or sphere",2.2,10,,,,,,,,,,,,"0000-0002-4260-8503","0000-0001-8893-215X","5d91cc49-e0a0-454a-a1b7-0e146e6931f0",
"f2322b1a-114a-455e-abb7-b42a28ca126d","YELL_050.basePlot.vst","2019-10-01","vst_YELL_2019","D12","YELL","YELL_050","31_25_4","NEON.PLA.D12.YELL.01984",,"ok","small shrub","Live",,,,0.6,0.2,,,0.8,0.6,,"ellipsoid or sphere",1.0,10,,,,,,,,,,,,"0000-0002-4260-8503","0000-0001-8893-215X","c47c58d2-4765-4add-b564-20244bac7115",
"8622401e-505a-4f1a-9a12-b0cb465c6b5c","YELL_050.basePlot.vst","2019-10-01","vst_YELL_2019","D12","YELL","YELL_050","31_25_4","NEON.PLA.D12.YELL.01984",,"ok","small shrub","Live",,,,0.6,0.2,,,0.8,0.6,,"ellipsoid or sphere",1.7,10,,,,,,,,,,,,"0000-0002-4260-8503","0000-0001-8893-215X","4c24556c-ae7f-4c51-83e2-d21d9817bc8e",
"0c0caaae-fd3c-4387-ba2a-b9deddd89916","YELL_050.basePlot.vst","2019-10-01","vst_YELL_2019","D12","YELL","YELL_050","24_25_2","NEON.PLA.D12.YELL.01962",,"ok","sapling","Live",,,,1.5,,,,,,,,5.8,10,,,,,,,,,,,,"0000-0002-4260-8503","0000-0001-8893-215X","c50449d7-0e42-43dc-a799-785f6788f97b",
"026883e8-055a-4edf-aad3-46e7e9a2aa6a","YELL_050.basePlot.vst","2019-10-01","vst_YELL_2019","D12","YELL","YELL_050","21_400","NEON.PLA.D12.YELL.01963",,"ok","single bole tree","Dead, broken bole",45.5,130,,2.1,,2.1,,,,,,,,,,,,,,,,,,,"0000-0002-4260-8503","0000-0001-8893-215X","4341d4b4-bf9f-4b43-a12e-927fb73accad",
"a9dbc54b-047f-4b70-b374-74aa32b03dbe","YELL_050.basePlot.vst","2019-10-01","vst_YELL_2019","D12","YELL","YELL_050","21_25_unknown","NEON.PLA.D12.YELL.01971",,"ok","small shrub","Live",,,,0.8,0.0,,,1.4,1.0,,"ellipsoid or sphere",2.2,10,,,,,,,,,,,,"0000-0002-4260-8503","0000-0001-8893-215X","29580df9-d04d-4511-bdee-cba4671f9048",
"e3e2b96d-a50e-4991-b13d-991e8a7e5c18","YELL_050.basePlot.vst","2019-10-01","vst_YELL_2019","D12","YELL","YELL_050","31_25_4","NEON.PLA.D12.YELL.01984",,"ok","small shrub","Live",,,,0.6,0.2,,,0.8,0.6,,"ellipsoid or sphere",1.3,10,,,,,,,,,,,,"0000-0002-4260-8503","0000-0001-8893-215X","d2cf273a-9881-442c-b2e8-781e081e46a7",
"ebbf9229-fb8d-4b2e-8449-0afe7cddb51f","YELL_050.basePlot.vst","2019-10-01","vst_YELL_2019","D12","YELL","YELL_050","21_25_1","NEON.PLA.D12.YELL.01976",,"ok","sapling","Live",,,,0.7,,,,,,,,1.0,10,,,,,,,,,,,,"0000-0002-4260-8503","0000-0001-8893-215X","c64cca78-f409-432d-adcc-d00f01cf8270",
"8fb7f62c-b9db-4bbe-a39e-393f4b3dcc1c","YELL_050.basePlot.vst","2019-10-01","vst_YELL_2019","D12","YELL","YELL_050","33_25_4","NEON.PLA.D12.YELL.01974","1","ok","sapling","Live",,,,0.8,,,,,,,,1.9,10,,,,,,,,,,,,"0000-0002-4260-8503","0000-0001-8893-215X","693bee24-8ae2-42be-9d30-7f1e76683306",
"150d16fa-083d-45d2-b6f5-ef9ad0a9ce87","YELL_050.basePlot.vst","2019-10-01","vst_YELL_2019","D12","YELL","YELL_050","21_25_1","NEON.PLA.D12.YELL.01975","1","ok","small shrub","Live",,,,0.6,0.1,,,0.6,0.5,,"ellipsoid or sphere",2.1,10,,,,,,,,,,,,"0000-0002-4260-8503","0000-0001-8893-215X","7c278ba3-ac06-476c-9064-04100efdd322",
