uid,namedLocation,date,eventID,domainID,siteID,plotID,subplotID,tagID,individualID,tagStatus,identificationHistoryID,taxonID,scientificName,taxonRank,identificationReferences,identificationQualifier,morphospeciesID,growthForm,shape,plantStatus,leafNumber,meanLeafLength,meanPetioleLength,meanBladeLength,basalStemDiameter,meanBasalDiameter,stemDiameter,stemLength,measurementHeight,maxCrownDiameter,ninetyCrownDiameter,height,baseCrownHeight,maxBaseCrownDiameter,ninetyBaseCrownDiameter,canopyPosition,oldPadCount,newPadCount,stemCount,branchCount,meanBranchLength,remarks,measuredBy,recordedBy,dataEntryRecordID
"81864809-5b54-4573-bbf1-733cf7fc67c8","HARV_004.basePlot.vst","2014-07-21","vst_HARV_2014","D01","HARV","HARV_004","40_unknown_1",,"TEMP.PLA.NW.HARV.2014.04322",,,"OSCIC","Osmunda cinnamomea L. var. cinnamomea","variety",,,,"fern",,,,73.0,,,,,,,,,,,,,,,,,,,,,,,
"b719b721-bfd5-4a04-be1d-1039772bbb4d","HARV_004.basePlot.vst","2014-07-21","vst_HARV_2014","D01","HARV","HARV_004","31_unknown_1",,"TEMP.PLA.NW.HARV.2014.04345",,,"OSCIC","Osmunda cinnamomea L. var. cinnamomea","variety",,,,"fern",,,,96.0,,,,,,,,,,,,,,,,,,,,"QC: NO ERROR",,,
"92e9ddfb-9977-49fb-b933-f073f7019431","HARV_004.basePlot.vst","2014-07-21","vst_HARV_2014","D01","HARV","HARV_004","31_unknown_1",,"TEMP.PLA.NW.HARV.2014.04341",,,"OSCIC","Osmunda cinnamomea L. var. cinnamomea","variety",,,,"fern",,,,95.0,,,,,,,,,,,,,,,,,,,,,,,
"f4aa5319-0c0c-4a8c-abdf-960ae78624c4","HARV_004.basePlot.vst","2014-07-21","vst_HARV_2014","D01","HARV","HARV_004","40_unknown_1",,"TEMP.PLA.NW.HARV.2014.04249",,,"OSCIC","Osmunda cinnamomea L. var. cinnamomea","variety",,,,"fern",,,,50.0,,,,,,,,,,,,,,,,,,,,,,,
"1227ee71-1e98-4a30-8af2-a7d0c5feb490","HARV_004.basePlot.vst","2014-07-21","vst_HARV_2014","D01","HARV","HARV_004","40_unknown_1",,"TEMP.PLA.NW.HARV.2014.04255",,,"OSCIC","Osmunda cinnamomea L. var. cinnamomea","variety",,,,"fern",,,,66.0,,,,,,,,,,,,,,,,,,,,,,,
"0234619e-0c76-431b-a154-25f3b9a781b9","HARV_004.basePlot.vst","2014-07-21","vst_HARV_2014","D01","HARV","HARV_004","40_unknown_1",,"TEMP.PLA.NW.HARV.2014.04291",,,"OSCIC","Osmunda cinnamomea L. var. cinnamomea","variety",,,,"fern",,,,65.0,,,,,,,,,,,,,,,,,,,,,,,
"b1b2ee02-01c3-4e81-9a3d-ef10e69c344d","HARV_004.basePlot.vst","2014-07-21","vst_HARV_2014","D01","HARV","HARV_004","32_unknown_4",,"TEMP.PLA.NW.HARV.2014.04256",,,"OSCL2","Osmunda claytoniana L.","species",,,,"fern",,,,35.0,,,,,,,,,,,,,,,,,,,,,,,
"90bb2a20-790b-4027-af9e-0b4580260ea6","HARV_004.basePlot.vst","2014-07-21","vst_HARV_2014","D01","HARV","HARV_004","32_unknown_4",,"TEMP.PLA.NW.HARV.2014.04325",,,"OSCIC","Osmunda cinnamomea L. var. cinnamomea","variety",,,,"fern",,,,63.0,,,,,,,,,,,,,,,,,,,,,,,
"2192ec7f-81e0-4290-913e-3fc8e513f5d5","HARV_004.basePlot.vst","2014-07-21","vst_HARV_2014","D01","HARV","HARV_004","40_unknown_1",,"TEMP.PLA.NW.HARV.2014.04278",,,"OSCIC","Osmunda cinnamomea L. var. cinnamomea","variety",,,,"fern",,,,70.0,,,,,,,,,,,,,,,,,,,,,,,
"dab9ab66-434c-488a-b9b1-03be8ed86616","HARV_004.basePlot.vst","2014-07-21","vst_HARV_2014","D01","HARV","HARV_004","40_unknown_1",,"TEMP.PLA.NW.HARV.2014.04298",,,"OSCIC","Osmunda cinnamomea L. var. cinnamomea","variety",,,,"fern",,,,48.0,,,,,,,,,,,,,,,,,,,,,,,
"5d259963-4223-4885-a9ca-d4c2dc3e3609","HARV_004.basePlot.vst","2014-07-21","vst_HARV_2014","D01","HARV","HARV_004","31_unknown_4",,"TEMP.PLA.NW.HARV.2014.04303",,,"OSCIC","Osmunda cinnamomea L. var. cinnamomea","variety",,,,"fern",,,,51.0,,,,,,,,,,,,,,,,,,,,,,,
"e9c2b460-58eb-4dad-abfd-c1f6c321f848","HARV_004.basePlot.vst","2014-07-21","vst_HARV_2014","D01","HARV","HARV_004","40_unknown_1",,"TEMP.PLA.NW.HARV.2014.04275",,,"OSCIC","Osmunda cinnamomea L. var. cinnamomea","variety",,,,"fern",,,,56.0,,,,,,,,,,,,,,,,,,,,"QC: added this record; appeared to have been missing",,,
"1490b183-6e25-4b5b-89dc-b63c4d2ec794","HARV_004.basePlot.vst","2014-07-21","vst_HARV_2014","D01","HARV","HARV_004","40_unknown_1",,"TEMP.PLA.NW.HARV.2014.04302",,,"OSCIC","Osmunda cinnamomea L. var. cinnamomea","variety",,,,"fern",,,,48.0,,,,,,,,,,,,,,,,,,,,,,,
"0ac658eb-2cf1-42aa-abeb-51b9d0ba2c36","HARV_004.basePlot.vst","2014-07-21","vst_HARV_2014","D01","HARV","HARV_004","32_unknown_4",,"TEMP.PLA.NW.HARV.2014.04328",,,"OSCL2","Osmunda claytoniana L.","species",,,,"fern",,,,47.0,,,,,,,,,,,,,,,,,,,,,,,
"71c8d02f-ef6f-4ba8-b5a5-c456469d6bad","HARV_004.basePlot.vst","2014-07-21","vst_HARV_2014","D01","HARV","HARV_004","40_unknown_1",,"TEMP.PLA.NW.HARV.2014.04330",,,"OSCIC","Osmunda cinnamomea L. var. cinnamomea","variety",,,,"fern",,,,90.0,,,,,,,,,,,,,,,,,,,,,,,
