uid,namedLocation,date,nonwoodyCollectDate,domainID,siteID,plotID,plotType,nlcdClass,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,easting,northing,utmZone,elevation,elevationUncertainty,samplingImpractical,eventID,eventType,dataCollected,subplotsSampled,samplingProtocolVersion,targetTaxaPresent,woodyTargetTaxaPresent,nonWoodyTargetTaxaPresent,treesPresent,shrubsPresent,lianasPresent,cactiPresent,fernsPresent,yuccasPresent,palmsPresent,ocotillosPresent,xerophyllumPresent,treeFernsPresent,nestedSubplotAreaShrubSapling,nestedSubplotAreaLiana,nestedSubplotAreaFerns,nestedSubplotAreaOther,totalSampledAreaTrees,totalSampledAreaShrubSapling,totalSampledAreaLiana,totalSampledAreaFerns,totalSampledAreaOther,remarks,measuredBy,recordedBy,dataQF
"9176c13c-8faf-4691-aca3-480177914749","BART_036.basePlot.vst","2023-08-08",,"D01","BART","BART_036","tower","deciduousForest",44.062082,-71.285878,"WGS84",20.2,316921.30,4881308.66,"19N",291.0,0.2,"OK","vst_BART_2023","towerSubset","allGrowthForms","21_400|41_400","NEON.DOC.000987vM","Y","Y","Y","Present - sampled","Present - sampled","N","N","Present - sampling criteria not met","N","N","N","N","N","25","noneSelected","noneSelected","noneSelected",800,100,800,,800,,,,
"9e3de5a7-6ada-4015-9e72-3ce375d33062","BART_071.basePlot.vst","2023-08-08",,"D01","BART","BART_071","tower","mixedForest",44.067944,-71.290624,"WGS84",20.1,316559.30,4881970.33,"19N",256.4,0.2,"OK","vst_BART_2023","towerSubset","allGrowthForms","21_400|39_400","NEON.DOC.000987vM","Y","Y","Y","Present - sampled","Present - sampled","N","N","Present - sampling criteria not met","N","N","N","N","N","25","noneSelected","noneSelected","noneSelected",800,100,800,,800,,,,
"a6adf5f3-261a-4c57-92c1-ff6cb39508e0","BART_042.basePlot.vst","2023-08-08",,"D01","BART","BART_042","tower","deciduousForest",44.060194,-71.288052,"WGS84",20.2,316741.36,4881103.79,"19N",288.3,0.2,"OK","vst_BART_2023","towerSubset","allGrowthForms","39_400|41_400","NEON.DOC.000987vM","Y","Y","Y","Present - sampled","Present - sampled","N","N","Present - sampling criteria not met","N","N","N","N","N","100","noneSelected","25","noneSelected",800,400,800,,800,,,,
"f80e6110-9b43-48b7-88c1-4621ef6cfda3","BART_073.basePlot.vst","2023-08-08",,"D01","BART","BART_073","tower","mixedForest",44.064774,-71.288616,"WGS84",20.1,316710.32,4881613.76,"19N",274.9,0.2,"OK","vst_BART_2023","towerSubset","allGrowthForms","23_400|39_400","NEON.DOC.000987vM","Y","Y","Y","Present - sampled","Present - sampled","N","N","Present - sampling criteria not met","N","N","N","N","N","25","noneSelected","noneSelected","noneSelected",800,100,800,,,,,,
"33bc31bc-f8e5-48a4-8a53-2dc992450eca","BART_040.basePlot.vst","2023-08-08",,"D01","BART","BART_040","tower","deciduousForest",44.065760,-71.291990,"WGS84",20.1,316443.15,4881730.79,"19N",260.2,0.2,"OK","vst_BART_2023","towerSubset","allGrowthForms","21_400|41_400","NEON.DOC.000987vM","Y","Y","Y","Present - sampled","Present - sampled","N","N","Present - sampling criteria not met","N","N","N","N","N","25","noneSelected","100","noneSelected",800,100,800,,800,,,,
